,l_names,l_team18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train,l_pos18__QB,l_pos18__RB,l_pos18__TE,l_pos18__WR,PointsPerGame,QBPassing
49,Jamison Crowder,NYJ,9,91.870003,80.0,12.0,Was,WR,15.0,195.10001,0.85000002,65.0,102.0,0.0,0.0,0.0,34.0,0.0,1.0,66.0,789.0,3.0,37.0,171.0,0.0,0.0,3.0,57.0,28.0,32,31,198.89999,106.4,18.6,352.29999,23.9,0.67019367,0,0,0,1,13.006667333333333,0.0
55,Marshawn Lynch,Oak,6,96.199997,35.0,18.0,Oak,RB,15.0,195.17,0.89999998,90.0,103.0,0.0,0.0,0.0,891.0,7.0,44.0,20.0,151.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,21.0,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,0.87249601,0,1,0,0,13.011333333333333,0.0
56,Greg Olsen,Car,9,96.400002,61.0,16.0,Car,TE,7.0,50.73,0.99000001,61.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,191.0,1.0,13.0,0.0,0.0,0.0,0.0,17.0,20.0,11,21,192.3,131.39999,22.700001,317.10001,20.4,0.52963525,0,0,1,0,7.247142857142856,0.0
60,Ty Montgomery,NYJ,13,99.470001,218.0,1.0,GB,RB,8.0,102.83,0.27000001,164.0,247.0,0.0,0.0,0.0,273.0,3.0,13.0,23.0,173.0,1.0,8.0,0.0,0.0,0.0,0.0,68.0,29.0,32,31,198.89999,106.4,18.6,352.29999,23.9,0.53461522,0,1,0,0,12.85375,0.0
61,Keelan Cole,Jax,16,99.730003,,,Jax,WR,16.0,148.47,0.059999999000000005,202.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,748.0,3.0,32.0,26.0,0.0,0.0,1.0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.77677935,0,0,0,1,9.279375,0.0
62,Marquise Goodwin,SF,11,101.23,158.0,5.0,SF,WR,16.0,189.53,0.82999998,79.0,111.0,0.0,0.0,0.0,44.0,0.0,3.0,56.0,962.0,2.0,46.0,0.0,0.0,0.0,0.0,,,10,16,245.3,104.0,20.700001,351.60001,23.9,0.51608807,0,0,0,1,11.845625,0.0
63,Albert Wilson,Mia,7,104.75,,,Mia,WR,13.0,138.33,0.029999999,266.0,195.0,0.0,0.0,0.0,6.0,0.0,1.0,42.0,554.0,3.0,32.0,18.0,0.0,0.0,0.0,,,14,20,220.89999,86.800003,17.6,335.70001,24.6,0.68174654,0,0,0,1,10.640769230769232,0.0
65,Giovani Bernard,Cin,12,107.13,41.0,15.0,Cin,RB,16.0,175.42999,0.16,184.0,131.0,0.0,0.0,0.0,458.0,2.0,20.0,43.0,389.0,2.0,16.0,7.0,0.0,0.0,0.0,199.0,2.0,22,26,195.10001,85.400002,18.1,339.10001,21.799999,0.76778615,0,1,0,0,10.964374375,0.0
66,Chris Conley,Jax,16,108.77,,,KC,WR,5.0,31.469998999999998,0.0099999998,1931.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,175.0,0.0,8.0,8.0,0.0,0.0,0.0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,0.75513661,0,0,0,1,6.2939998,0.0
69,Cameron Brate,TB,16,113.27,179.0,1.0,TB,TE,16.0,168.39999,0.47,127.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,591.0,6.0,33.0,0.0,0.0,0.0,0.0,124.0,3.0,31,22,272.89999,90.599998,20.9,378.10001,23.9,0.56622654,0,0,1,0,10.524999375,0.0
